id,name,description,location,phone,email,category,status,area,opening_date,region_id,created_by,updated_by,is_deleted,created_at,updated_at,map_url
00b53132-d4e9-4fd1-8346-1bd7645fed1e,كارفور-ميجا مول,فرع تجاري,كارفور-ميجا مول,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=كارفور-ميجا+مول+City57
020222a5-076c-4e0b-acc3-9b4dc784fad9,شيراتون الغردقة,فرع تجاري,شيراتون الغردقة,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=شيراتون+الغردقة+City39
0204cb25-cb10-4c07-afc7-6e7fe0de933b,كارفور-المحافظة,فرع تجاري,كارفور-المحافظة,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=كارفور-المحافظة+City13
02b3ba8e-1b46-45eb-886e-582148afa6ca,مترو ماركت-شيراتون الغردقة,فرع تجاري,مترو ماركت-شيراتون الغردقة,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=مترو+ماركت-شيراتون+الغردقة+City51
031ae294-7e67-496d-9040-15be7bfd70f1,الشيخ زايد 3,فرع تجاري,أركان بلازا,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=الشيخ+زايد+3+City30
040efe8a-bac3-4e2b-92bf-31bbd2712281,القاهرة الجديدة 2,فرع تجاري,الممر المائي 1,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=القاهرة+الجديدة+2+City41
05f6ff3f-9019-46d6-a561-fbf8f19728eb,مترو ماركت-الكوربة,فرع تجاري,مترو ماركت-الكوربة,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=مترو+ماركت-الكوربة+City75
07a342e9-62be-4563-84d7-66b5b4fa19df,حلوان,فرع تجاري,حلوان,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=حلوان+City84
08fbbb00-c43e-4da0-a120-1fcad9667ec7,ميامي,فرع تجاري,ميامي,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=ميامي+City82
0a694463-81fc-4240-91ce-be2582dd5be5,ليك هاوس,فرع تجاري,ليك هاوس,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=ليك+هاوس+City69
0c877774-69f0-4ebf-a4db-4b6c0548d697,مهندسين أسوان,فرع تجاري,مهندسين أسوان,01000000000,branch@test.com,retail,active,100.0,2022-01-01 00:00:00,7275b3f6-1e72-42d6-a80e-cd147ad02b17,9cd43b8c-5f85-4ffa-98fa-3b9a94d110c4,edb76caa-5ef3-4bfc-8753-cf745e5e63f6,false,2025-04-06 20:32:29.99007,2025-04-06 20:32:29.990572,https://maps.google.com/?q=مهندسين+أسوان+City11
